casualty_id,vehicle_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
10193,1,3,2,3,3,10,9,0,0,0,0,9,11
10194,2,1,1,6,3,0,0,0,0,0,9,2,9
10195,1,3,2,7,3,10,9,0,0,0,0,1,4
10196,1,3,1,4,3,1,1,0,0,0,0,1,2
10197,1,1,1,5,3,0,0,0,0,0,4,1,2
10198,2,1,2,5,3,0,0,0,0,0,9,3,9
10199,2,1,1,5,3,0,0,0,0,0,9,1,3
10200,1,1,2,6,3,0,0,0,0,0,9,1,2
10201,2,2,1,3,3,0,0,2,0,0,9,1,3
10202,2,2,2,3,3,0,0,2,0,0,9,1,3
10203,2,2,2,2,3,0,0,2,0,0,9,1,3
10204,2,1,2,6,3,0,0,0,0,0,1,1,4
10205,2,1,1,7,3,0,0,0,0,0,1,9,11
10206,1,1,1,3,3,0,0,0,0,0,1,1,1
10207,1,1,1,6,3,0,0,0,0,0,9,3,5
10208,2,1,2,7,3,0,0,0,0,0,1,1,1
10209,1,3,1,5,2,5,9,0,0,0,0,2,8
10210,1,1,2,6,3,0,0,0,0,0,9,1,6
10211,2,1,1,9,2,0,0,0,0,0,4,2,8
10212,1,1,2,10,3,0,0,0,0,0,9,2,6
10213,2,1,2,11,3,0,0,0,0,0,9,3,6
10214,2,1,1,11,2,0,0,0,0,0,3,3,7
10215,1,1,2,5,3,0,0,0,0,0,9,1,4
10216,2,1,1,9,3,0,0,0,0,0,9,1,8
10217,1,3,2,6,2,5,1,0,0,0,0,1,10
10218,2,1,1,9,3,0,0,0,0,0,9,2,9
10219,3,2,2,11,3,0,0,2,0,0,9,1,4
10220,1,3,2,6,2,5,1,0,0,0,0,1,1
10221,1,3,1,7,3,6,7,0,0,0,0,1,7
10222,1,2,2,6,3,0,0,2,0,0,9,2,5
10223,1,1,1,5,3,0,0,0,0,0,9,3,10
10224,1,2,2,5,3,0,0,1,0,0,9,3,10
10225,2,1,1,5,3,0,0,0,0,0,19,3,6
10226,1,3,2,6,3,5,1,0,0,0,0,1,9
10227,2,1,2,9,3,0,0,0,0,0,9,2,8
10228,2,1,2,6,3,0,0,0,0,0,1,1,10
10229,1,1,2,4,3,0,0,0,0,0,9,1,6
10230,1,1,1,10,2,0,0,0,0,0,5,2,4
10231,1,2,2,8,3,0,0,0,0,0,5,2,4
